School,City,State,Type,Conference,Division
Utah Valley University,Orem,Utah,Public,Western Athletic Conference,NCAA D1
Valparaiso University,Valparaiso,Indiana,Private,Missouri Valley Conference,NCAA D1
Vanderbilt University,Nashville,Tennessee,Private,Southeastern Conference,NCAA D1
Villanova University,Villanova,Pennsylvania,Private,Big East Conference,NCAA D1
Virginia Commonwealth University,Richmond,Virginia,Public,Atlantic 10 Conference,NCAA D1
Virginia Military Institute – VMI,Lexington,Virginia,Public,Big South Conference,NCAA D1
Virginia Tech,Blacksburg,Virginia,Public,Atlantic Coast Conference,NCAA D1
Wagner College,Staten Island,New York,Private,Northeast Conference,NCAA D1
Wake Forest University,Winston Salem,North Carolina,Private,Atlantic Coast Conference,NCAA D1
Washington State University,Pullman,Washington,Public,West Coast Conference,NCAA D1
West Virginia University,Morgantown,West Virginia,Public,Big 12 Conference,NCAA D1
Western Carolina University,Cullowhee,North Carolina,Public,Southern Conference,NCAA D1
Western Illinois University,Macomb,Illinois,Public,Ohio Valley Conference,NCAA D1
Western Kentucky University,Bowling Green,Kentucky,Public,Conference USA,NCAA D1
Western Michigan University,Kalamazoo,Michigan,Public,Mid-American Conference,NCAA D1
Wichita State University,Wichita,Kansas,Public,American Athletic Conference,NCAA D1
William & Mary,Williamsburg,Virginia,Public,Colonial Athletic Association,NCAA D1
Winthrop University,Rock Hill,South Carolina,Public,Big South Conference,NCAA D1
Wofford College,Spartanburg,South Carolina,Private,Southern Conference,NCAA D1
Wright State University,Dayton,Ohio,Public,Horizon League,NCAA D1
Xavier University,Cincinnati,Ohio,Private,Big East Conference,NCAA D1
Yale University,New Haven,Connecticut,Private,Ivy League,NCAA D1
Youngstown State University,Youngstown,Ohio,Public,Missouri Valley Conference,NCAA D1
